                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.66191,                0.55046,                 1.1562,                0.56842,                0.66911,                0.62246,                0.51045,                    nan,                    nan,                    nan,             0.00059403,             0.00059403,             0.00059403
                    107,                0.67401,                0.54859,                 1.1571,                0.65006,                0.60903,                0.64381,                0.53514,                    nan,                    nan,                    nan,             0.00059103,             0.00059103,             0.00059103
                    108,                 0.6481,                0.53246,                 1.1446,                0.68997,                0.62986,                0.68422,                 0.5694,                    nan,                    nan,                    nan,             0.00058803,             0.00058803,             0.00058803
                    109,                 0.6572,                0.53255,                 1.1475,                  0.658,                0.61394,                0.66281,                0.54174,                    nan,                    nan,                    nan,             0.00058503,             0.00058503,             0.00058503
                    110,                0.66667,                0.56204,                 1.1589,                0.73097,                0.67063,                0.71715,                0.58327,                    nan,                    nan,                    nan,             0.00058203,             0.00058203,             0.00058203
                    111,                0.65476,                0.54846,                 1.1468,                 0.6502,                0.61443,                0.63358,                0.53164,                    nan,                    nan,                    nan,             0.00057903,             0.00057903,             0.00057903
                    112,                0.64517,                0.54004,                 1.1425,                0.71486,                0.64147,                0.66565,                0.55782,                    nan,                    nan,                    nan,             0.00057603,             0.00057603,             0.00057603
                    113,                0.65371,                0.53661,                 1.1423,                0.79056,                0.64089,                0.72561,                 0.6072,                    nan,                    nan,                    nan,             0.00057303,             0.00057303,             0.00057303
                    114,                0.66029,                0.54247,                  1.146,                0.67485,                0.64556,                0.66001,                0.55505,                    nan,                    nan,                    nan,             0.00057003,             0.00057003,             0.00057003
                    115,                0.64735,                0.53768,                 1.1395,                0.61512,                  0.629,                 0.6675,                0.56026,                    nan,                    nan,                    nan,             0.00056703,             0.00056703,             0.00056703
                    116,                0.64847,                0.54337,                 1.1442,                0.72384,                0.63384,                0.71687,                0.59737,                    nan,                    nan,                    nan,             0.00056403,             0.00056403,             0.00056403
                    117,                0.62939,                0.51986,                 1.1283,                0.58404,                0.60863,                0.57149,                0.47354,                    nan,                    nan,                    nan,             0.00056103,             0.00056103,             0.00056103
                    118,                0.64984,                0.52397,                 1.1433,                0.58608,                0.63432,                0.66104,                0.55643,                    nan,                    nan,                    nan,             0.00055804,             0.00055804,             0.00055804
                    119,                0.63523,                0.53066,                 1.1281,                0.70912,                0.64441,                0.68665,                0.57519,                    nan,                    nan,                    nan,             0.00055504,             0.00055504,             0.00055504
                    120,                0.63343,                0.52642,                 1.1306,                0.59547,                0.65418,                0.64792,                0.54427,                    nan,                    nan,                    nan,             0.00055204,             0.00055204,             0.00055204
                    121,                0.63319,                0.50965,                 1.1293,                0.73794,                0.64398,                 0.7234,                0.61231,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                    122,                0.62925,                0.52597,                 1.1317,                0.72885,                0.62919,                0.70107,                0.59284,                    nan,                    nan,                    nan,             0.00054604,             0.00054604,             0.00054604
                    123,                0.62804,                0.50421,                 1.1206,                0.71119,                0.64469,                0.70676,                 0.6019,                    nan,                    nan,                    nan,             0.00054304,             0.00054304,             0.00054304
                    124,                0.63722,                0.51271,                 1.1383,                0.66544,                0.61176,                0.69299,                 0.5832,                    nan,                    nan,                    nan,             0.00054004,             0.00054004,             0.00054004
                    125,                0.63605,                0.50747,                 1.1319,                0.61084,                0.63502,                0.64014,                0.53457,                    nan,                    nan,                    nan,             0.00053704,             0.00053704,             0.00053704
                    126,                0.61185,                0.49514,                 1.1151,                0.71237,                 0.6257,                0.70108,                0.59293,                    nan,                    nan,                    nan,             0.00053404,             0.00053404,             0.00053404
                    127,                0.63269,                0.51639,                 1.1323,                0.60396,                0.68401,                0.63158,                0.53446,                    nan,                    nan,                    nan,             0.00053104,             0.00053104,             0.00053104
                    128,                 0.6122,                 0.5206,                 1.1166,                 0.6188,                0.62937,                0.61377,                0.52267,                    nan,                    nan,                    nan,             0.00052804,             0.00052804,             0.00052804
                    129,                0.63062,                0.51229,                 1.1272,                0.64239,                0.65998,                0.66418,                0.56199,                    nan,                    nan,                    nan,             0.00052504,             0.00052504,             0.00052504
